id;calle;codigo_postal;ciudad;provincia
1;upwardly pace ah;until vibraphone woot;burgeon meal;numeric
2;gloss times bobble;whereas dwell whose;reproachfully;via mixture
3;gadzooks;whether;mechanically as;natural frequent huzzah
4;however;meh;amongst amid apropos;by
5;underneath;how;unimpressively bleak;shadowbox stabilise
6;trouser amid the;onto bah utterly;euphonium;drat pace ick
7;lest before between;amongst;object fervently perfumed;shrill
8;hm as charlatan;safely smoke powerless;official physically dividend;too pfft
9;commodity when hence;modulo arid sideboard;season potable;hmph consequently unless
10;before phooey down;peony forenenst;phew whoever;pace mmm
