id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;experienced;duh and;understated;alienated;2025-04-11T10:27:12;24697;16879
2;ouch ouch disk;dream;although;notwithstanding but;2025-04-11T16:59:05;9118;20587
3;about;hmph pantyhose up;boo unto hopelessly;painfully;2025-04-11T02:08:18;31980;31670
4;in;geez closely;fence;ouch but scar;2025-04-11T17:54:18;8736;15019
5;phew;daintily blue;exacerbate impeccable officially;depot;2025-04-11T03:52:32;20778;29679
6;tusk impolite wonderfully;even;sell;embody;2025-04-11T13:33:36;16641;13194
7;blindly word;yet for longingly;culminate;tricky clearly;2025-04-10T19:57:24;21565;27960
8;settler geez;brand;ack while;softly secularize concerning;2025-04-11T12:36:16;2085;5511
9;whose;until;even fooey nice;preheat rationalise apostrophize;2025-04-11T11:19:19;22741;20140
10;oof worth gosh;than consequently without;jovially corral;unsung;2025-04-11T10:10:23;15719;23932
